generation,objective,generation_best_score,generation_best_phase_deg,generation_best_final_phase_deg,generation_best_rate_rad_s,generation_best_coupling_per_s,generation_best_collision_penalty,generation_best_forbidden_contact_s,generation_best_max_forbidden_penetration_mm,global_best_score,global_best_phase_deg,global_best_final_phase_deg,population_mean_score,population_std_score
0,barrier,5.29325824033144,589.9352858253434,589.9352858253434,2.429995583412089,4.101070279304691,2.4041139089857877,0.025,0.6235075510243309,5.29325824033144,589.9352858253434,589.9352858253434,-24.669716822978888,18.189082055937227
1,barrier,8.897045228001145,657.7053218883533,657.7053218883533,2.249815571290912,3.1743241767661803,3.4105695643014995,0.117,0.9492127330610386,8.897045228001145,657.7053218883533,657.7053218883533,-11.096664479474677,10.80309680943316
2,barrier,8.897045228001145,657.7053218883533,657.7053218883533,2.249815571290912,3.1743241767661803,3.4105695643014995,0.117,0.9492127330610386,8.897045228001145,657.7053218883533,657.7053218883533,-6.1661472032353695,7.688032990764329
3,sustained,42.31740374517943,1672.1062366256535,1672.1062366256535,2.1049834421047464,4.344419464093486,1.0628901361634464,0.007,0.286347396335972,42.31740374517943,1672.1062366256535,1672.1062366256535,-4.90232014406818,20.5893952548159
4,sustained,49.128071437523566,2033.9488478187234,2033.9488478187234,3.842331676541101,4.1543816432616065,3.955747667310165,0.113,0.7436873439805574,49.128071437523566,2033.9488478187234,2033.9488478187234,-4.66031566928782,21.11715528329883
5,sustained,49.128071437523566,2033.9488478187234,2033.9488478187234,3.842331676541101,4.1543816432616065,3.955747667310165,0.113,0.7436873439805574,49.128071437523566,2033.9488478187234,2033.9488478187234,4.784173863651637,22.706071647903293
6,sustained,49.128071437523566,2033.9488478187234,2033.9488478187234,3.842331676541101,4.1543816432616065,3.955747667310165,0.113,0.7436873439805574,49.128071437523566,2033.9488478187234,2033.9488478187234,13.846814468709317,22.12849930403586
7,sustained,49.128071437523566,2033.9488478187234,2033.9488478187234,3.842331676541101,4.1543816432616065,3.955747667310165,0.113,0.7436873439805574,49.128071437523566,2033.9488478187234,2033.9488478187234,20.460944449639374,21.539471752301818
8,sustained,49.128071437523566,2033.9488478187234,2033.9488478187234,3.842331676541101,4.1543816432616065,3.955747667310165,0.113,0.7436873439805574,49.128071437523566,2033.9488478187234,2033.9488478187234,32.93745492466138,15.633594101219325
9,sustained,50.49307262215267,2123.1020304951107,2123.1020304951107,3.307265828769216,4.443211680880048,3.877804837077538,0.128,0.7603187558471187,50.49307262215267,2123.1020304951107,2123.1020304951107,34.50570428723287,15.399318110565668
10,sustained,50.59604687552354,2037.5780840208363,2037.5780840208363,3.6914360473786454,3.839743331896974,2.260103823456184,0.08700000000000001,0.5884794760464985,50.59604687552354,2037.5780840208363,2037.5780840208363,37.83108399513686,15.79661682523031
11,sustained,50.696932787657715,2097.8465010511645,2097.8465010511645,3.5678896838150287,4.778809106686978,2.935809690917451,0.059000000000000004,0.9168096458818404,50.696932787657715,2097.8465010511645,2097.8465010511645,41.572689904296126,11.583164469378827
12,sustained,52.640619210732034,2078.2178948712435,2078.2178948712435,3.5193055141676064,4.864379682159608,2.095466054127039,0.082,0.4586746797394254,52.640619210732034,2078.2178948712435,2078.2178948712435,44.51934878810471,12.156349528864034
13,sustained,52.640619210732034,2078.2178948712435,2078.2178948712435,3.5193055141676064,4.864379682159608,2.095466054127039,0.082,0.4586746797394254,52.640619210732034,2078.2178948712435,2078.2178948712435,45.59283007170552,8.919604693153662
