generation,objective,generation_best_score,generation_best_phase_deg,generation_best_final_phase_deg,generation_best_rate_rad_s,generation_best_coupling_per_s,generation_best_collision_penalty,generation_best_forbidden_contact_s,generation_best_max_forbidden_penetration_mm,generation_best_foot_contact_s,generation_best_min_foot_surface_gap_mm,global_best_score,global_best_phase_deg,global_best_final_phase_deg,population_mean_score,population_std_score
0,sustained,54.130036940435,3259.319667936935,3259.319667936935,3.5193055141676064,4.864379682159608,4.663091656404667,0.088,0.44832512567124194,0.981,-1.5560268772711119,54.130036940435,3259.319667936935,3259.319667936935,-47.79898898356936,42.79196645898538
1,sustained,54.130036940435,3259.319667936935,3259.319667936935,3.5193055141676064,4.864379682159608,4.663091656404667,0.088,0.44832512567124194,0.981,-1.5560268772711119,54.130036940435,3259.319667936935,3259.319667936935,-34.445286071211925,39.591598814884435
2,sustained,54.130036940435,3259.319667936935,3259.319667936935,3.5193055141676064,4.864379682159608,4.663091656404667,0.088,0.44832512567124194,0.981,-1.5560268772711119,54.130036940435,3259.319667936935,3259.319667936935,-24.291262275554114,50.90678080739374
3,sustained,69.98380983097454,3195.1726750908983,3195.1726750908983,2.748951796575417,4.959354299041981,5.150437652669495,0.314,0.4400672089815202,0.215,-1.186766409866362,69.98380983097454,3195.1726750908983,3195.1726750908983,3.3968559797497386,55.444702760704644
4,sustained,80.09889945910305,3511.056002655114,3511.056002655114,3.5465886536018174,4.1312931274022695,3.646797761241482,0.074,1.1579019372022579,0.168,-0.31365278637173616,80.09889945910305,3511.056002655114,3511.056002655114,29.909686610291292,34.08164725959166
5,sustained,80.09889945910305,3511.056002655114,3511.056002655114,3.5465886536018174,4.1312931274022695,3.646797761241482,0.074,1.1579019372022579,0.168,-0.31365278637173616,80.09889945910305,3511.056002655114,3511.056002655114,39.95434715305008,36.247632705091284
6,sustained,80.09889945910305,3511.056002655114,3511.056002655114,3.5465886536018174,4.1312931274022695,3.646797761241482,0.074,1.1579019372022579,0.168,-0.31365278637173616,80.09889945910305,3511.056002655114,3511.056002655114,46.04833150277217,33.521140659145644
7,sustained,80.18153084251102,3880.2132800190684,3880.2132800190684,4.26274964415598,4.604016303023245,7.873962509087066,0.192,2.0462319430493685,0.064,-0.13811861191504599,80.18153084251102,3880.2132800190684,3880.2132800190684,56.65516217743305,31.398847373427895
8,sustained,82.63665641837969,3877.3463282773787,3877.3463282773787,3.660566101988975,5.439537778811303,5.288794708287577,0.101,1.5379536946739987,0.223,-0.3506566300675931,82.63665641837969,3877.3463282773787,3877.3463282773787,61.19772005734115,29.672290605867452
9,sustained,82.63665641837969,3877.3463282773787,3877.3463282773787,3.660566101988975,5.439537778811303,5.288794708287577,0.101,1.5379536946739987,0.223,-0.3506566300675931,82.63665641837969,3877.3463282773787,3877.3463282773787,67.8555041232213,20.34309293772583
10,sustained,85.6090049250917,3896.2006136312225,3896.2006136312225,4.020382550367437,4.822727922171801,4.9394116590711175,0.126,1.3290609531298685,0.14300000000000002,-0.31398579191483506,85.6090049250917,3896.2006136312225,3896.2006136312225,71.82883853906452,15.122896645732228
11,sustained,85.6090049250917,3896.2006136312225,3896.2006136312225,4.020382550367437,4.822727922171801,4.9394116590711175,0.126,1.3290609531298685,0.14300000000000002,-0.31398579191483506,85.6090049250917,3896.2006136312225,3896.2006136312225,77.05310209507047,7.069523926253893
12,sustained,86.07817016749819,3917.449175590795,3917.449175590795,4.515026491810569,4.468311868707811,5.377058171148389,0.10200000000000001,1.5451698684751987,0.091,-0.3658169655208557,86.07817016749819,3917.449175590795,3917.449175590795,79.4894047536154,5.238138692818382
13,sustained,87.23537100474127,3907.3841433494786,3907.3841433494786,3.934247316623476,4.825558812176979,4.444015609623849,0.111,1.27408328918085,0.088,-0.29851613949571226,87.23537100474127,3907.3841433494786,3907.3841433494786,81.21394633199323,4.729663167412606
14,sustained,87.23537100474127,3907.3841433494786,3907.3841433494786,3.934247316623476,4.825558812176979,4.444015609623849,0.111,1.27408328918085,0.088,-0.29851613949571226,87.23537100474127,3907.3841433494786,3907.3841433494786,81.94682192815478,2.881664301386743
15,sustained,87.51131769946097,3908.0168518846694,3908.0168518846694,4.44287828726257,4.408201996075435,4.45551221988582,0.08600000000000001,1.3390870890428574,0.10200000000000001,-0.46298566866763424,87.51131769946097,3908.0168518846694,3908.0168518846694,82.13202325431742,3.1984819739874224
