time_s,phase_rad,phase_deg,pitch_rate_rad_s,root_x_m,front_hip_target_rad,front_knee_target_rad,rear_hip_target_rad,rear_knee_target_rad,front_hip_position_rad,front_knee_position_rad,rear_hip_position_rad,rear_knee_position_rad,front_hip_torque_Nm,front_knee_torque_Nm,rear_hip_torque_Nm,rear_knee_torque_Nm,actuator_power_W,actuator_net_work_J,foot_gap_m,roundness_peak_to_peak_m,ground_contact_count,airborne,self_contact_pair_count,forbidden_contact_pair_count,allowed_foot_penetration_m,forbidden_penetration_m,leg_crossing
0.0,0.0,0.0,0.0,0.0,0.3141592653589793,1.047493254806029,0.3141592653589793,1.047493254806029,0.3141592654,1.047493254806029,0.3141592654,1.047493254806029,0.0,0.0900996519397097,0.0,0.0900996519397097,0.0,0.0,0.04190000002084679,0.013026988626196584,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.001,3.239160698032631e-06,0.00018559023716191946,0.003239160698032631,2.0616057182074023e-08,0.3141592653589793,1.047493254806029,0.3141592653589793,1.047493254806029,0.31419710343216617,1.0475666050600803,0.3141882817185555,1.0475611715441253,-4.1020697949534224e-10,0.0,-4.1020697949534224e-10,0.0,-2.7424121275670313e-11,-2.7424121275670313e-14,0.04190000002084679,0.013026988626196584,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.002,9.806996935847428e-06,0.0005618995341217882,0.006567836237814797,6.842126903188238e-08,0.31416329894143225,1.0475379907003486,0.31418366260112585,1.0475134714050802,0.3142736655748159,1.0477148318156495,0.3142468751991606,1.047698177020707,-0.007905651340573527,-0.014956194407576007,-0.005849454885402228,-0.014060349009717754,-0.00509126651673317,-5.091266544157291e-06,0.04190124475085865,0.013020706564457835,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.003,1.9760842314024272e-05,0.0011322128642171222,0.009953845378176843,1.503389354326781e-07,0.31417521706985296,1.047671826198916,0.3142564974894384,1.0475734259430038,0.3143894264425455,1.0479387242319795,0.31433531557928673,1.0479048025540465,-0.016296913579576966,-0.030075407281163535,-0.011622473218248164,-0.02864860609338571,-0.015567629928483076,-2.065889647264037e-05,0.041903801703237105,0.013008014068509322,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.004,3.3131768061817656e-05,0.0018983104777484873,0.013370925747793387,2.736221714688654e-07,0.31419474912809103,1.0478941974495493,0.31437723566388254,1.047672086500661,0.3145445366616792,1.0482384906481395,0.31445364795730985,1.0481810804067757,-0.025098946690476076,-0.04522375109030996,-0.01726887517926423,-0.04365226720175208,-0.031553286625837756,-5.2212183098478125e-05,0.041907713928693434,0.012988845572274782,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.005,4.992934877897067e-05,0.0028607409588716896,0.016797580717153017,4.4583471989483465e-07,0.31422162888047256,1.0482045333345091,0.31454534399985395,1.0478084356808084,0.31473889242575703,1.0486138837366508,0.3146017453259138,1.0485266565741675,-0.03425112163879929,-0.06029285636826742,-0.022749515179177227,-0.05898201780551382,-0.053042347477206875,-0.000105254530575685,0.041913005953771794,0.012963184612307721,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.006,7.014550962934122e-05,0.0040190416535555275,0.02021616085037054,6.748325758861373e-07,0.3142555944269447,1.0486022556772445,0.31476029065538685,1.0479814704770105,0.3149721908373586,1.0490643006727915,0.3147793500617434,1.0489408805010687,-0.04370413280369512,-0.07519489829632953,-0.02803402042605363,-0.0745670944499448,-0.07993160994025918,-0.00018518614051594418,0.041919688272180886,0.012931052909480656,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.007,9.375764240913991e-05,0.005371917207140497,0.02361213277979868,9.687461875881692e-07,0.31429638815825844,1.0490867794444132,0.3150215451162662,1.0481902021420586,0.3152439739693212,1.049588863258299,0.3149861066593317,1.0494228763563533,-0.0534177091113186,-0.08985859951193831,-0.03309899662069071,-0.09035156897034824,-0.1120470092616655,-0.0002972331497776097,0.04192776076440458,0.01289250167652417,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.008,0.00012073113988521639,0.006917384771226457,0.02697349747607647,1.3359630984362177e-06,0.3143437567112532,1.049657512943238,0.3153285782391336,1.0484336560561291,0.31555366396805656,1.0501864819733022,0.3152215875218409,1.0499715995761438,-0.06335879897319607,-0.10422602025212235,-0.03792660371964418,-0.10629137405917177,-0.14916454103249463,-0.0004463976908101043,0.04193721530928075,0.012847604703371318,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.009000000000000001,0.0001510214672753463,0.00865289269075042,0.030290327390129927,1.7851109647766346e-06,0.3143974509242942,1.0503138580142595,0.31568086229267095,1.0487108715948714,0.3159005910392333,1.0508559071500092,0.3154853132450213,1.0505858816481926,-0.07350013018469781,-0.118249982591065,-0.042503424793533195,-0.12235192377080573,-0.19102654008208525,-0.0006374242308921895,0.041948037784330976,0.012796452861819324,2.0,0.0,0.0,0.0,-0.0,-0.0,0.0
