generation,objective,generation_best_score,generation_best_phase_deg,generation_best_final_phase_deg,generation_best_rate_rad_s,generation_best_coupling_per_s,generation_best_collision_penalty,generation_best_forbidden_contact_s,generation_best_max_forbidden_penetration_mm,generation_best_foot_contact_s,generation_best_min_foot_surface_gap_mm,global_best_score,global_best_phase_deg,global_best_final_phase_deg,population_mean_score,population_std_score
0,sustained,-17.370419916546666,3539.9408223623245,3539.9408223623245,4.508254974762862,4.126874756617964,5.668571781908859,0.093,0.5209333887972925,0.157,-1.829763167452543,-17.370419916546666,3539.9408223623245,3539.9408223623245,-150.77321531879724,85.84191165778901
1,sustained,-17.370419916546666,3539.9408223623245,3539.9408223623245,4.508254974762862,4.126874756617964,5.668571781908859,0.093,0.5209333887972925,0.157,-1.829763167452543,-17.370419916546666,3539.9408223623245,3539.9408223623245,-96.22030394149745,47.26811200326586
2,sustained,-17.370419916546666,3539.9408223623245,3539.9408223623245,4.508254974762862,4.126874756617964,5.668571781908859,0.093,0.5209333887972925,0.157,-1.829763167452543,-17.370419916546666,3539.9408223623245,3539.9408223623245,-74.56754133700059,38.86899421074698
3,sustained,7.234729933836576,1956.342095820586,1956.342095820586,2.5183037100760477,5.08394330064751,3.881246415214604,0.178,0.7401493126281984,0.064,-0.6501156019036101,7.234729933836576,1956.342095820586,1956.342095820586,-75.45612904176595,44.116793598823186
4,sustained,36.26857065986563,2795.889764176406,2795.889764176406,2.0169740509393943,7.134971877657595,0.0,0.0,0.0,0.837,-0.4271727705534925,36.26857065986563,2795.889764176406,2795.889764176406,-55.544848383767146,38.00265658887408
5,sustained,36.26857065986563,2795.889764176406,2795.889764176406,2.0169740509393943,7.134971877657595,0.0,0.0,0.0,0.837,-0.4271727705534925,36.26857065986563,2795.889764176406,2795.889764176406,-52.71743988282923,41.18230057267629
6,sustained,36.26857065986563,2795.889764176406,2795.889764176406,2.0169740509393943,7.134971877657595,0.0,0.0,0.0,0.837,-0.4271727705534925,36.26857065986563,2795.889764176406,2795.889764176406,-43.86083048106781,31.871695907251794
7,sustained,36.26857065986563,2795.889764176406,2795.889764176406,2.0169740509393943,7.134971877657595,0.0,0.0,0.0,0.837,-0.4271727705534925,36.26857065986563,2795.889764176406,2795.889764176406,-26.226365419330097,27.162170892623156
8,sustained,46.00839798132789,2883.5103356447544,2883.5103356447544,2.138784128653709,7.2738162342746175,1.1290024473914704,0.019,0.3791264940349714,0.856,-0.25565246665285035,46.00839798132789,2883.5103356447544,2883.5103356447544,-25.506010868998455,31.67906953480241
9,sustained,47.33938164023843,2873.627173194314,2873.627173194314,2.574377853397358,5.515383733641676,2.634970905596953,0.079,0.6870598480735179,0.124,-0.2992079508062073,47.33938164023843,2873.627173194314,2873.627173194314,-19.823495171251118,32.64101825364473
10,sustained,54.47172186185228,3238.3145649249545,3238.3145649249545,3.1878990632788757,6.888654078051363,1.5945268919620288,0.055,0.4183101474160428,0.117,-0.32455890488852085,54.47172186185228,3238.3145649249545,3238.3145649249545,-6.995093610156189,27.65531679775834
11,sustained,54.69276360576136,2964.0752547509815,2964.0752547509815,2.7151419932342806,6.044511065730095,0.5168023862961534,0.012,0.17032106262886149,0.35100000000000003,-0.2518784555007453,54.69276360576136,2964.0752547509815,2964.0752547509815,12.006460555702418,25.251721555482856
