generation,objective,generation_best_score,generation_best_phase_deg,generation_best_final_phase_deg,generation_best_rate_rad_s,generation_best_coupling_per_s,generation_best_collision_penalty,generation_best_forbidden_contact_s,generation_best_max_forbidden_penetration_mm,generation_best_foot_contact_s,generation_best_min_foot_surface_gap_mm,global_best_score,global_best_phase_deg,global_best_final_phase_deg,population_mean_score,population_std_score
0,sustained,41.41710178874797,3913.1957280642596,3913.1957280642596,4.44287828726257,4.408201996075435,4.990011317424618,0.092,1.319770468082555,0.091,-0.6648924515345045,41.41710178874797,3913.1957280642596,3913.1957280642596,-106.09996339271355,70.03539157678922
1,sustained,63.091942359011206,3156.855533292074,3156.855533292074,4.330151647216486,5.1480543289416545,4.145541453933172,0.073,0.41662684618819396,0.634,-1.4566262741680172,63.091942359011206,3156.855533292074,3156.855533292074,-79.49103279408148,60.938917600524626
2,sustained,63.091942359011206,3156.855533292074,3156.855533292074,4.330151647216486,5.1480543289416545,4.145541453933172,0.073,0.41662684618819396,0.634,-1.4566262741680172,63.091942359011206,3156.855533292074,3156.855533292074,-72.63200590939324,71.47064731787655
3,sustained,63.091942359011206,3156.855533292074,3156.855533292074,4.330151647216486,5.1480543289416545,4.145541453933172,0.073,0.41662684618819396,0.634,-1.4566262741680172,63.091942359011206,3156.855533292074,3156.855533292074,-38.34380134946608,41.571431798457596
4,sustained,63.091942359011206,3156.855533292074,3156.855533292074,4.330151647216486,5.1480543289416545,4.145541453933172,0.073,0.41662684618819396,0.634,-1.4566262741680172,63.091942359011206,3156.855533292074,3156.855533292074,-16.71490381332688,53.559157782009294
5,sustained,68.10116832234974,2893.6791944342763,2893.6791944342763,3.500588543397682,5.519687494113163,2.017202473782935,0.017,0.31820839403473405,0.105,-0.9303807279472456,68.10116832234974,2893.6791944342763,2893.6791944342763,5.369800345778589,41.24280780462289
6,sustained,69.296162862974,3563.9747813185268,3563.9747813185268,4.526816567472542,5.670008466019923,5.367473614721687,0.031,0.526735204425156,0.215,-1.9478125865961884,69.296162862974,3563.9747813185268,3563.9747813185268,23.012577924533606,43.3393490831142
7,sustained,69.41665748010155,3454.8548455935907,3454.8548455935907,5.189745988771086,4.3014450384779686,4.398924758288633,0.11800000000000001,0.5188299704470666,0.14400000000000002,-1.319776409957528,69.41665748010155,3454.8548455935907,3454.8548455935907,32.85788050183609,39.05856519343297
8,sustained,69.86104560419206,3569.8791944368327,3569.8791944368327,4.602392079334018,5.407105232401312,3.946930476820036,0.044,0.44210765997263096,0.191,-1.4482142203810082,69.86104560419206,3569.8791944368327,3569.8791944368327,46.58969285992015,28.923243199135992
9,sustained,69.95213932529961,3524.319696904263,3524.319696904263,4.043883539003539,5.703991560555572,5.6737900258979055,0.078,0.7605685040299546,0.151,-1.700308872294505,69.95213932529961,3524.319696904263,3524.319696904263,43.54941898002999,32.92898094246499
10,sustained,74.07560490324497,3773.2461586240934,3773.2461586240934,4.779233533061889,5.915768406473107,4.546627947394634,0.046,0.5693535126866985,0.233,-1.5359670195560367,74.07560490324497,3773.2461586240934,3773.2461586240934,56.52142079431163,25.055603467995258
11,sustained,74.1177384560805,3539.9408223623245,3539.9408223623245,4.508254974762862,4.126874756617964,5.668571781908859,0.093,0.5209333887972925,0.157,-1.829763167452543,74.1177384560805,3539.9408223623245,3539.9408223623245,58.42191729946661,22.85050037829108
