time_s,phase_rad,phase_deg,crossing_count,any_crossing,core_crossing_count,any_core_crossing,minimum_estimated_clearance_m,foot_endpoint_distance_m,self_contact_pair_count,any_self_contact,minimum_self_contact_distance_m,front_thigh__rear_thigh_crossing,front_thigh__rear_thigh_core_crossing,front_thigh__rear_thigh_centerline_distance_m,front_thigh__rear_thigh_estimated_clearance_m,front_thigh__rear_shank_crossing,front_thigh__rear_shank_core_crossing,front_thigh__rear_shank_centerline_distance_m,front_thigh__rear_shank_estimated_clearance_m,front_shank__rear_thigh_crossing,front_shank__rear_thigh_core_crossing,front_shank__rear_thigh_centerline_distance_m,front_shank__rear_thigh_estimated_clearance_m,front_shank__rear_shank_crossing,front_shank__rear_shank_core_crossing,front_shank__rear_shank_centerline_distance_m,front_shank__rear_shank_estimated_clearance_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04687307805245751,0.03989999997155766,1.0,1.0,-2.8442338761980324e-11,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17939881107808936,0.15739881107808934,0.0,0.0,0.17939881107808936,0.15739881107808934,0.0,0.0,0.06687307805245751,0.04687307805245751
0.001,-3.75523008244727e-14,-2.1515883482479272e-12,0.0,0.0,0.0,0.0,0.04687307805245751,0.03989999997155766,1.0,1.0,-2.8442338761980324e-11,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17939881107808936,0.15739881107808934,0.0,0.0,0.17939881107808936,0.15739881107808934,0.0,0.0,0.06687307805245751,0.04687307805245751
0.002,4.30869583505268e-06,0.00024687008655411446,0.0,0.0,0.0,0.0,0.04687307805864602,0.039899999978309536,1.0,1.0,-2.1690461926571203e-11,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17939881108293895,0.15739881108293893,0.0,0.0,0.17939881108293385,0.15739881108293383,0.0,0.0,0.06687307805864602,0.04687307805864602
0.003,1.2745479553511783e-05,0.0007302621862865101,0.0,0.0,0.0,0.0,0.04687621784958883,0.039901667397493505,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.17940135208005017,0.15740135208005016,0.0,0.0,0.17940135901283033,0.1574013590128303,0.0,0.0,0.06687621784958883,0.04687621784958883
0.004,2.515806294404352e-05,0.0014414508274181643,0.0,0.0,0.0,0.0,0.04688239540796196,0.03990497828723119,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.17940636535358942,0.1574063653535894,0.0,0.0,0.1794063557852716,0.15740635578527157,0.0,0.0,0.06688239540796197,0.04688239540796196
0.005,4.141518517922025e-05,0.0023729153185220783,0.0,0.0,0.0,0.0,0.04689150537075423,0.03990989589949045,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17941377678945403,0.157413776789454,0.0,0.0,0.1794137037954762,0.15741370379547617,0.0,0.0,0.06689150537075424,0.04689150537075423
0.006,6.140095318361938e-05,0.0035180154755017463,0.0,0.0,0.0,0.0,0.04690344198937056,0.039916375777547655,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.1794235097823583,0.15742350978235828,0.0,0.0,0.17942330841284065,0.15742330841284063,0.0,0.0,0.06690344198937057,0.04690344198937056
0.007,8.501045508331798e-05,0.0048707402907605755,0.0,0.0,0.0,0.0,0.04691810078041056,0.039924369058526636,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.17943548699762743,0.1574354869976274,0.0,0.0,0.17943507860912422,0.1574350786091242,0.0,0.0,0.06691810078041056,0.04691810078041056
0.008,0.00011214636890845109,0.0064255136261714045,0.0,0.0,0.0,0.0,0.046935379345890024,0.03993382457233805,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.1794496313853444,0.15744963138534437,0.0,0.0,0.17944892706534055,0.15744892706534053,0.0,0.0,0.06693537934589003,0.046935379345890024
0.009000000000000001,0.00014271635103939848,0.008177044582065033,0.0,0.0,0.0,0.0,0.04695517768250754,0.039944690141886965,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17946586671582546,0.15746586671582544,0.0,0.0,0.17946476998382258,0.15746476998382256,0.0,0.0,0.06695517768250754,0.04695517768250754
0.010000000000000002,0.00017663103652492226,0.010120212923899136,0.0,0.0,0.0,0.0,0.046977398190463246,0.0399569133599715,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17948411781664184,0.15748411781664182,0.0,0.0,0.17948252675032764,0.15748252675032762,0.0,0.0,0.06697739819046325,0.046977398190463246
0.011000000000000003,0.00021380252008111738,0.012249982049909057,0.0,0.0,0.0,0.0,0.04700194551819668,0.039970442028905435,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17950431063056901,0.157504310630569,0.0,0.0,0.17950211953640258,0.15750211953640256,0.0,0.0,0.06700194551819669,0.04700194551819668
0.012000000000000004,0.00025414321497448393,0.014561333609923913,0.0,0.0,0.0,0.0,0.04702872632945734,0.03998522438745468,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.1795263721724153,0.15752637217241527,0.0,0.0,0.17952347289607565,0.15752347289607563,0.0,0.0,0.06702872632945735,0.04702872632945734
0.013000000000000005,0.00029756500906714543,0.017049219150319508,0.0,0.0,0.0,0.0,0.04705764904583597,0.04000120920769482,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.17955023043468674,0.15755023043468672,0.0,0.0,0.17954651338740457,0.15754651338740455,0.0,0.0,0.06705764904583597,0.04705764904583597
0.014000000000000005,0.0003439786545241996,0.019708525146825258,0.0,0.0,0.0,0.0,0.047088623595965606,0.04001834581585876,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17957581427328337,0.15757581427328335,0.0,0.0,0.17957116923436217,0.15757116923436215,0.0,0.0,0.06708862359596561,0.047088623595965606
0.015000000000000006,0.00039329334115799364,0.02253404855895187,0.0,0.0,0.0,0.0,0.047121561188409,0.04003658407199021,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.17960305329199047,0.15760305329199045,0.0,0.0,0.17959737003518464,0.15759737003518462,0.0,0.0,0.067121561188409,0.047121561188409
0.016000000000000007,0.0004454164139522457,0.025520480645315674,0.0,0.0,0.0,0.0,0.047156374116241434,0.04005587433032375,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17963187773639613,0.15763187773639611,0.0,0.0,0.1796250465176962,0.15762504651769618,0.0,0.0,0.06715637411624144,0.047156374116241434
0.017000000000000008,0.0005002532036139768,0.02866239725497949,0.0,0.0,0.0,0.0,0.04719297559579311,0.040076167393766245,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.17966221840263916,0.15766221840263914,0.0,0.0,0.17965413033895267,0.15765413033895265,0.0,0.0,0.06719297559579311,0.04719297559579311
0.01800000000000001,0.0005577069455384645,0.031954254184486476,0.0,0.0,0.0,0.0,0.04723127963873976,0.040097414470252855,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.1796940065631164,0.15769400656311638,0.0,0.0,0.17968455392493435,0.15768455392493433,0.0,0.0,0.06723127963873976,0.04723127963873976
0.01900000000000001,0.0006176787677250379,0.03539038648548616,0.0,0.0,0.0,0.0,0.04727120095493714,0.040119567135148304,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17972717390929122,0.1577271739092912,0.0,0.0,0.1797162503453753,0.1577162503453753,0.0,0.0,0.06727120095493715,0.04727120095493714
0.02000000000000001,0.0006800677322474546,0.03896501084081207,0.0,0.0,0.0,0.0,0.04731265488253075,0.04014257730158358,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.1797616525106052,0.15776165251060517,0.0,0.0,0.17974915321875334,0.15774915321875332,0.0,0.0,0.06731265488253076,0.04731265488253075
0.02100000000000001,0.0007447709180937773,0.04267223031085696,0.0,0.0,0.0,0.0,0.047355557341592955,0.040166397199231076,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17979737478790628,0.15779737478790626,0.0,0.0,0.17978319664272724,0.15778319664272722,0.0,0.0,0.06735555734159296,0.047355557341592955
0.022000000000000013,0.0008116835357284806,0.0465060408974981,0.0,0.0,0.0,0.0,0.047399824807599245,0.04019097936120616,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17983427349955144,0.15783427349955143,0.0,0.0,0.17981831514574778,0.15781831514574776,0.0,0.0,0.06739982480759925,0.047399824807599245
0.023000000000000013,0.0008806990657363356,0.050460339487806684,0.0,0.0,0.0,0.0,0.04744537430130841,0.04021627661834693,0.0,0.0,0.0,0.0,0.0,0.15,0.12599999999999997,0.0,0.0,0.17987228173830802,0.157872281738308,0.0,0.0,0.179854443656065,0.157854443656065,0.0,0.0,0.06744537430130841,0.04744537430130841
0.024000000000000014,0.0009517094154950755,0.0545289328307303,0.0,0.0,0.0,0.0,0.04749212339195388,0.040242242099920396,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.17991133293725722,0.1579113329372572,0.0,0.0,0.179891517484865,0.157891517484865,0.0,0.0,0.06749212339195389,0.04749212339195388
