generation,objective,generation_best_score,generation_best_phase_deg,generation_best_final_phase_deg,generation_best_rate_rad_s,generation_best_coupling_per_s,global_best_score,global_best_phase_deg,global_best_final_phase_deg,population_mean_score,population_std_score
0,barrier,2.7585196833103387,212.5869186108057,164.43748735580584,1.8675669237314485,5.778190188779085,2.7585196833103387,212.5869186108057,164.43748735580584,-13.125790689948637,12.829332041285527
1,barrier,3.70468249093529,296.9822881827231,200.6072141552925,0.9377763726656863,3.169308856529986,3.70468249093529,296.9822881827231,200.6072141552925,-5.455431888895566,8.791308256829108
2,barrier,5.923190902623098,387.3009226578919,387.3009226578919,2.233652004684081,5.9894080100304175,5.923190902623098,387.3009226578919,387.3009226578919,-5.36390186282394,9.009772606744153
3,sustained,47.82788523183609,1807.9574446446795,1807.9574446446795,3.7125976994798977,2.695579370346734,47.82788523183609,1807.9574446446795,1807.9574446446795,-6.421779701951989,13.496800013599646
4,sustained,58.03079100408637,2110.908759843854,2110.0517526082663,2.6786420902185473,4.059550339764861,58.03079100408637,2110.908759843854,2110.0517526082663,-2.619339846622622,19.699381769614405
5,sustained,64.79678072838144,2487.911140022496,2487.911140022496,2.8057404179221037,4.521178636537411,64.79678072838144,2487.911140022496,2487.911140022496,3.8955819842214483,24.1071267196707
6,sustained,71.13882535217616,2505.5904819540247,2505.5904819540247,2.892861661297447,5.450383598284146,71.13882535217616,2505.5904819540247,2505.5904819540247,24.162279274419163,30.364847724220418
7,sustained,75.55818814754151,2873.0906009218675,2873.0906009218675,2.822960833402013,4.588409784405595,75.55818814754151,2873.0906009218675,2873.0906009218675,35.65136123312054,30.33262979354733
8,sustained,77.14828825587452,2873.9703125867104,2873.9703125867104,3.3164865600638436,4.583806212783884,77.14828825587452,2873.9703125867104,2873.9703125867104,39.67876627319525,32.43678882861942
9,sustained,83.1558597595836,3198.302959203127,3198.302959203127,3.5892317958034976,4.9906913341434755,83.1558597595836,3198.302959203127,3198.302959203127,55.34893780146415,29.312522972245507
10,sustained,84.0981580355416,3139.263112365265,3139.263112365265,3.6565631998063983,4.796179221538381,84.0981580355416,3139.263112365265,3139.263112365265,62.728313299736556,27.613654534826193
11,sustained,84.0981580355416,3139.263112365265,3139.263112365265,3.6565631998063983,4.796179221538381,84.0981580355416,3139.263112365265,3139.263112365265,67.16506456339884,25.073738268664982
