time_s,phase_rad,phase_deg,pitch_rate_rad_s,root_x_m,root_z_m,circle_center_x_m,circle_center_z_m,com_x_m,com_z_m,potential_energy_J,kinetic_energy_J,total_energy_J,energy_change_J,ground_contact_count,normal_force_sum_N,normal_force_max_N,tangential_force_sum_N,contact_slip_weighted_m_s,contact_slip_max_m_s,nominal_circle_slip_m_s,joint_error_max_rad,front_hip_error_rad,front_knee_error_rad,rear_hip_error_rad,rear_knee_error_rad,front_hip_torque_Nm,front_knee_torque_Nm,rear_hip_torque_Nm,rear_knee_torque_Nm,actuator_power_W,saturated_actuator_count,joint_damping_power_W,foot_gap_m,roundness_rms_m,roundness_peak_to_peak_m,airborne
0.0,0.0,0.0,0.0,0.0,0.2507762653,0.0,0.147547621264662,0.011876971608832807,0.22040161865160818,6.853983416342117,0.0,6.853983416342117,0.0,4.0,26.638540623363077,6.7637589792254875,1.3672128663327434,0.0,0.0,0.0,4.359173022550067e-10,4.102068684730398e-11,-4.359173022550067e-10,4.102068684730398e-11,-4.359173022550067e-10,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,9.580503057549095e-11,1.0372605185694957e-11,5.1356030539295716e-11,0.0
0.002,7.48603401787009e-06,0.00042891815451531843,0.003743017008935045,1.6400711390133158e-06,0.2507707229226244,0.0,0.147547621264662,0.011876971608832807,0.22040161865160818,6.853983416342117,1.3600390331614134e-05,6.853997016732448,1.3600390331269807e-05,4.0,26.638540623363077,6.7637589792254875,1.3672128663327434,0.00013674709008073237,0.00024512600493410225,-0.00011862425689324562,1.6064943977323054e-06,-3.4777468771451936e-07,1.532887827115914e-06,-4.5200111448151503e-07,1.6064943977323054e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,9.580503057549095e-11,1.0372605185694957e-11,5.1356030539295716e-11,0.0
0.004,2.2588960410462358e-05,0.0012942520951075968,0.007551463196296134,5.0441046900771575e-06,0.25076197173659276,8.672979981533908e-07,0.1475420788901789,0.011878386370879972,0.22039599195292411,6.85380843895445,3.607682570404172e-05,6.853844515780153,-0.0001389005619634176,4.0,28.482297643460956,7.224157195401095,1.2143246698520067,0.0001861912994550444,0.0003054400836556369,-0.00019171096209721287,2.986465316823228e-06,-6.884918039018473e-07,2.8468630879352474e-06,-8.800276196097023e-07,2.986465316823228e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,4.6170509323298833e-07,2.7980118360381322e-08,1.1138348701700274e-07,0.0
0.006,4.54171302800323e-05,0.0026022098826416658,0.01141408493478497,1.0289859961863768e-05,0.25075149096144306,2.7122769369355026e-06,0.14753332772759153,0.011881333402803389,0.22038706506459266,6.853530833259184,5.6415986317448946e-05,6.853587249245502,-0.0003961670966150521,4.0,29.65371505199908,7.520612323674755,1.2733369684602969,0.000234948902995907,0.00033226522648394205,-0.00023950395451853004,4.104788153602712e-06,-9.70232586550157e-07,3.910976936971622e-06,-1.232460253297596e-06,4.104788153602712e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,8.769245062491964e-07,5.1097125627979726e-08,2.0338239828388005e-07,0.0
0.008,7.60495765943014e-05,0.0043573197726103595,0.015316223157134545,1.7430017739412645e-05,0.25074027620925127,5.6015111886915296e-06,0.1475228470325707,0.011885887167343593,0.2203763161176772,6.853196565732691,7.273674989415467e-05,6.853269302482586,-0.0007141138595310181,4.0,30.44210511684514,7.7202888825319,1.3132172636477804,0.00026708748857048,0.00034508892503417574,-0.0002708663483194512,4.997910154402874e-06,-1.197594190038842e-06,4.760376615342565e-06,-1.5163157732200894e-06,4.997910154402874e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.2159357029775931e-06,6.970471395443257e-08,2.774483134626582e-07,0.0
0.01,0.00011454163074915561,0.006562752020472511,0.019246027077427105,2.6500016515153903e-05,0.25072898698713414,9.579523075688604e-06,0.14751163247242666,0.011892097985895004,0.22036473992803024,6.852836572859908,8.626684577490167e-05,6.852922839705683,-0.0010605766364335523,4.0,30.964345755047283,7.852547743332024,1.3400014964629983,0.0002882531957052831,0.00035013115006685624,-0.0002914473912082236,5.704104593995396e-06,-1.3790637697352892e-06,5.431752127638134e-06,-1.7424550204925282e-06,5.704104593995396e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.4877383589949145e-06,8.451082332879355e-08,3.3639525404138837e-07,0.0
0.012,0.0001609300672591324,0.009220613650704758,0.02319421825498839,3.752331563437317e-05,0.25071804665614134,1.4676039313176863e-05,0.14750034362896494,0.011899999654843316,0.22035299547629314,6.852471347423123,9.892165801302529e-05,6.852570269081136,-0.0014131472609806295,4.0,31.29960838845937,7.937441635217917,1.3577335064920502,0.0003021237609039907,0.00035077285554630867,-0.0003049098396499749,6.257523502251061e-06,-1.5225998270529395e-06,5.9577479245565e-06,-1.9209708850276286e-06,6.257523502251061e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.7034141363415952e-06,9.617959924901713e-08,3.8285758979794693e-07,0.0
0.014,0.00021523783703448677,0.012332219653600698,0.027153884887677178,5.051511158981003e-05,0.25070771355580107,2.0910723078404025e-05,0.14748940395753615,0.01190961454820783,0.22034150580872872,6.852114045188104,0.00011240239321881814,6.852226447581323,-0.0017569687607936757,4.0,31.504214828119295,7.989242519124668,1.369243733677965,0.00031111850125175054,0.000349042631029546,-0.0003136517975483172,6.687516090675416e-06,-1.6351760195876253e-06,6.366362806708992e-06,-2.0606866621974973e-06,6.687516090675416e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.8730249750039126e-06,1.0529455030556336e-07,4.1915284931803853e-07,0.0
0.016,0.00027747810373574797,0.0158983242513516,0.031120133350630602,6.548497461684712e-05,0.25069813179294226,2.8296401699196474e-05,0.1474790719116166,0.011920957189177982,0.22033052910574333,6.851772694971676,0.00012795575811257482,6.851900650729789,-0.002082765612327897,4.0,31.61837795270908,8.018140364419665,1.3765244675239736,0.00031684640829105593,0.0003461615739605449,-0.0003192591797502656,7.018762461008521e-06,-1.7227432370092721e-06,6.681109910866567e-06,-2.1691168222703894e-06,7.018762461008521e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.00527875387842e-06,1.1235369001034368e-07,4.4726125000837946e-07,0.0
0.018000000000000002,0.0003476574971130385,0.019919307300658707,0.03508969668864526,8.243871887388547e-05,0.2506893674542627,3.684128658627482e-05,0.1474694917316024,0.011934036764045215,0.22032020942368374,6.8514517765948915,0.0001463918395374592,6.851598168434429,-0.002385247907687571,4.0,31.670766725184368,8.031399835207644,1.3809798188625622,0.0003203886590265902,0.00034285327407886524,-0.00032279073824937124,7.271684274057222e-06,-1.7902884387188678e-06,6.921427212258635e-06,-2.2525460257050156e-06,7.271684274057222e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.1075372718446684e-06,1.177736268124299e-07,4.688405987607336e-07,0.0
